availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Bottega Veneta,Shoulder Bag,Green,€,2022-12-10,,Bottega Veneta Army Green Ring Hobo,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_3036-2.jpg,584.50,bottega_veneta_army_green_ring_hobo_20221210,https://luxurybyho.com/shop/bottega-veneta-army-green-ring-hobo/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Brown Pony Mamma,https://luxurybyho.com/wp-content/uploads/2022/01/IMG_1351-2.jpg,598.50,fendi_brown_pony_mamma_20221210,https://luxurybyho.com/shop/fendi-brown-pony-mamma/
in stock,Fendi,Shoulder Bag,Pink,€,2022-12-10,,Fendi Pink Zucca Mamma,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_1010-3-scaled.jpg,598.50,fendi_pink_zucca_mamma_20221210,https://luxurybyho.com/shop/fendi-pink-zucca-mamma/
in stock,Proenza Schouler,Crossbody Bag,Brown,€,2022-12-10,,Proenza Schouler Cognac Brown PS11,https://luxurybyho.com/wp-content/uploads/2022/05/IMG_1452.jpg,598.50,proenza_schouler_cognac_brown_ps11_20221210,https://luxurybyho.com/shop/proenza-schouler-cognac-brown-ps11/
in stock,Prada,Belt Bag,Black,€,2022-12-10,,Prada Black Belt Bag,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_9995-4-scaled.jpg,408.00,prada_black_belt_bag_24_20221210,https://luxurybyho.com/shop/prada-black-belt-bag-24/
in stock,Louis Vuitton,Crossbody Bag,Brown,€,2022-12-10,,Louis Vuitton Brown Epi Jeune Fille,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_9930-4-scaled.jpg,408.00,louis_vuitton_brown_epi_jeune_fille_20221210,https://luxurybyho.com/shop/louis-vuitton-brown-epi-jeune-fille/
in stock,Louis Vuitton,Crossbody Bag,Brown,€,2022-12-10,,Louis Vuitton Noé,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_9962-3-scaled.jpg,408.00,louis_vuitton_noe_67_20221210,https://luxurybyho.com/shop/louis-vuitton-noe-67/
in stock,Prada,Weekend Bag,Black,€,2022-12-10,,Prada Black Nylon Sports Bag,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_3601-5-scaled.jpg,408.00,prada_black_nylon_sports_bag_4_20221210,https://luxurybyho.com/shop/prada-black-nylon-sports-bag-4/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Brown Suede Shoulder Bag,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_4360-3-scaled.jpg,408.00,fendi_brown_suede_shoulder_bag_20221210,https://luxurybyho.com/shop/fendi-brown-suede-shoulder-bag/
in stock,Fendi,Shoulder Bag,Red,€,2022-12-10,,Fendi Red Knit Baguette,https://luxurybyho.com/wp-content/uploads/2022/01/IMG_9264.jpg,435.00,fendi_red_knit_baguette_20221210,https://luxurybyho.com/shop/fendi-red-knit-baguette/
